country;region
Austria;West
Czech Republic;East
Hungary;East
Poland;East
Romania;East
Serbia;East
Slovakia;East
Ukraine;East
Estonia;East
Bosnia & Herzegovina;South
Bulgaria;South
Croatia;South
Greece;South
Italy;South
Portugal;South
Slovenia;South
Spain;South
Macedonia;South
Belgium;West
Denmark;West
Scandinavia;West
Finland;West
France;West
Germany;West
Ireland;West
Luxemburg;West
Netherlands;West
Northern Ireland;West
Sweden;West
Switzerland;West
Liechtenstein;West
United Kingdom;West
